x,y
300,795
305,791
310,787
315,722
320,715
325,708
330,681
335,676
340,676
345,651
350,636
355,623
360,584
365,548
370,512
375,477
380,450
385,451
390,451
395,445
400,431
405,357
410,338
415,320
420,304
425,291
430,281
435,273
440,267
445,262
450,258
455,255
460,253
465,251
470,250
475,248
480,248
485,247
490,248
495,249
500,251
505,252
510,243
515,238
520,179
525,172
530,145
535,123
540,102
545,90
550,82
555,77
560,73
565,70
570,68
575,67
580,65
585,64
590,64
595,63
600,63
605,63
610,63
615,63
620,63
625,63
630,64
635,65
640,66
645,67
650,69
655,72
660,76
665,80
670,87
675,97
680,114
685,142
690,150
695,173
700,180
705,243
710,242
715,241
720,240
725,240
730,240
735,241
740,242
745,244
750,245
755,248
760,251
765,254
770,259
775,264
780,271
785,279
790,291
795,303
800,320
805,338
810,391
815,404
820,418
825,433
830,438
835,438
840,441
844,443
