x,y
5.970000000000000000e+02,6.740000000000000000e+02
5.970120240480962366e+02,6.740080160320641198e+02
5.970240480961923595e+02,6.740160320641282397e+02
5.970360721442885961e+02,6.740240480961923595e+02
5.970480961923847190e+02,6.740320641282564793e+02
5.970601202404809555e+02,6.740400801603205991e+02
5.970721442885771921e+02,6.740480961923848326e+02
5.970841683366733150e+02,6.740561122244488388e+02
5.970961923847695516e+02,6.740641282565130723e+02
5.971082164328657882e+02,6.740721442885771921e+02
5.971202404809619111e+02,6.740801603206413120e+02
5.971322645290581477e+02,6.740881763527054318e+02
5.971442885771542706e+02,6.740961923847695516e+02
5.971563126252505072e+02,6.741042084168336714e+02
5.971683366733467437e+02,6.741122244488977913e+02
5.971803607214428666e+02,6.741202404809619111e+02
5.971923847695391032e+02,6.741282565130260309e+02
5.972044088176352261e+02,6.741362725450901507e+02
5.972164328657314627e+02,6.741442885771542706e+02
5.972284569138276993e+02,6.741523046092185041e+02
5.972404809619238222e+02,6.741603206412825102e+02
5.972525050100200588e+02,6.741683366733467437e+02
5.972645290581161817e+02,6.741763527054107499e+02
5.972765531062124182e+02,6.741843687374749834e+02
5.972885771543086548e+02,6.741923847695391032e+02
5.973006012024047777e+02,6.742004008016032230e+02
5.973126252505010143e+02,6.742084168336673429e+02
5.973246492985972509e+02,6.742164328657314627e+02
5.973366733466933738e+02,6.742244488977955825e+02
5.973486973947896104e+02,6.742324649298597024e+02
5.973607214428857333e+02,6.742404809619238222e+02
5.973727454909819699e+02,6.742484969939879420e+02
5.973847695390782064e+02,6.742565130260521755e+02
5.973967935871743293e+02,6.742645290581161817e+02
5.974088176352705659e+02,6.742725450901804152e+02
5.974208416833666888e+02,6.742805611222444213e+02
5.974328657314629254e+02,6.742885771543086548e+02
5.974448897795591620e+02,6.742965931863727747e+02
5.974569138276552849e+02,6.743046092184368945e+02
5.974689378757515215e+02,6.743126252505010143e+02
5.974809619238476444e+02,6.743206412825651341e+02
5.974929859719438809e+02,6.743286573146292540e+02
5.975050100200401175e+02,6.743366733466933738e+02
5.975170340681362404e+02,6.743446893787574936e+02
5.975290581162324770e+02,6.743527054108216134e+02
5.975410821643287136e+02,6.743607214428858470e+02
5.975531062124248365e+02,6.743687374749498531e+02
5.975651302605210731e+02,6.743767535070140866e+02
5.975771543086171960e+02,6.743847695390780927e+02
5.975891783567134325e+02,6.743927855711423263e+02
5.976012024048096691e+02,6.744008016032064461e+02
5.976132264529057920e+02,6.744088176352705659e+02
5.976252505010020286e+02,6.744168336673346857e+02
5.976372745490981515e+02,6.744248496993988056e+02
5.976492985971943881e+02,6.744328657314629254e+02
5.976613226452906247e+02,6.744408817635270452e+02
5.976733466933867476e+02,6.744488977955911650e+02
5.976853707414829842e+02,6.744569138276552849e+02
5.976973947895791071e+02,6.744649298597194047e+02
