x,y
5.690000000000000000e+02,1.103000000000000000e+03
5.700000000000000000e+02,1.102000000000000000e+03
5.700000000000000000e+02,1.101000000000000000e+03
5.700000000000000000e+02,1.100000000000000000e+03
5.700000000000000000e+02,1.099000000000000000e+03
5.700000000000000000e+02,1.098000000000000000e+03
5.710000000000000000e+02,1.097000000000000000e+03
5.710000000000000000e+02,1.096000000000000000e+03
5.710000000000000000e+02,1.095000000000000000e+03
5.710000000000000000e+02,1.094000000000000000e+03
5.710000000000000000e+02,1.093000000000000000e+03
5.710000000000000000e+02,1.092000000000000000e+03
5.710000000000000000e+02,1.091000000000000000e+03
5.720000000000000000e+02,1.090000000000000000e+03
5.730000000000000000e+02,1.089000000000000000e+03
5.730000000000000000e+02,1.088000000000000000e+03
5.740000000000000000e+02,1.087000000000000000e+03
5.750000000000000000e+02,1.086000000000000000e+03
5.750000000000000000e+02,1.085000000000000000e+03
5.760000000000000000e+02,1.084000000000000000e+03
5.760000000000000000e+02,1.083000000000000000e+03
5.770000000000000000e+02,1.082000000000000000e+03
5.770000000000000000e+02,1.081000000000000000e+03
5.780000000000000000e+02,1.080000000000000000e+03
5.780000000000000000e+02,1.079000000000000000e+03
5.790000000000000000e+02,1.078000000000000000e+03
5.790000000000000000e+02,1.077000000000000000e+03
5.790000000000000000e+02,1.076000000000000000e+03
5.790000000000000000e+02,1.075000000000000000e+03
5.790000000000000000e+02,1.074000000000000000e+03
5.790000000000000000e+02,1.073000000000000000e+03
5.790000000000000000e+02,1.072000000000000000e+03
5.790000000000000000e+02,1.071000000000000000e+03
5.790000000000000000e+02,1.070000000000000000e+03
5.790000000000000000e+02,1.069000000000000000e+03
