x_left,x_right,a,b,c,d
5.970000000000000000e+02,5.980000000000000000e+02,6.710000000000000000e+02,-1.026243317677529854e+00,0.000000000000000000e+00,2.624331767752994052e-02
5.980000000000000000e+02,5.990000000000000000e+02,6.700000000000000000e+02,-9.475133646449400704e-01,7.872995303258982502e-02,-1.312165883876497130e-01
5.990000000000000000e+02,6.000000000000000000e+02,6.690000000000000000e+02,-1.183703223742709643e+00,-3.149198121303593001e-01,4.986230358730689427e-01
6.000000000000000000e+02,6.010000000000000000e+02,6.680000000000000000e+02,-3.176737403842213592e-01,1.180949295488847417e+00,-8.632755551046260578e-01
6.010000000000000000e+02,6.020000000000000000e+02,6.680000000000000000e+02,-5.456018147204044766e-01,-1.408877369825030756e+00,9.544791845454353441e-01
6.020000000000000000e+02,6.030000000000000000e+02,6.670000000000000000e+02,-4.999190007341602904e-01,1.454560183811275165e+00,-9.546411830771148743e-01
6.030000000000000000e+02,6.040000000000000000e+02,6.670000000000000000e+02,-4.547221823429546950e-01,-1.409363365420069458e+00,8.640855477630241532e-01
6.040000000000000000e+02,6.050000000000000000e+02,6.660000000000000000e+02,-6.811922698940208187e-01,1.182893277869003112e+00,-5.017010079749821827e-01
6.050000000000000000e+02,6.060000000000000000e+02,6.660000000000000000e+02,1.794912619190387193e-01,-3.222097460559435467e-01,1.427184841369048274e-01
6.060000000000000000e+02,6.070000000000000000e+02,6.660000000000000000e+02,-3.677277778213386417e-02,1.059457063547709910e-01,-6.917292857263712680e-02
6.070000000000000000e+02,6.080000000000000000e+02,6.660000000000000000e+02,-3.240015079050326957e-02,-1.015730793631403894e-01,1.339732301536436798e-01
6.080000000000000000e+02,6.090000000000000000e+02,6.660000000000000000e+02,1.663733809441469147e-01,3.003466110977905945e-01,-4.667199920419375370e-01
6.090000000000000000e+02,6.100000000000000000e+02,6.660000000000000000e+02,-6.330933729860843684e-01,-1.099813365028021961e+00,7.329067380141064403e-01
6.100000000000000000e+02,6.110000000000000000e+02,6.650000000000000000e+02,-6.339998889998090803e-01,1.098906849014297249e+00,-4.649069600144881131e-01
6.110000000000000000e+02,6.120000000000000000e+02,6.650000000000000000e+02,1.690929289853209949e-01,-2.958140310291671460e-01,1.267211020438461511e-01
6.120000000000000000e+02,6.130000000000000000e+02,6.650000000000000000e+02,-4.237182694147481610e-02,8.434927510237133497e-02,-4.197744816089651887e-02
6.130000000000000000e+02,6.140000000000000000e+02,6.650000000000000000e+02,3.943787805783018356e-04,-4.158306938031821470e-02,4.118869059973991748e-02
6.140000000000000000e+02,6.150000000000000000e+02,6.650000000000000000e+02,4.079431181916162025e-02,8.198300241890152384e-02,-1.227773142380631510e-01
6.150000000000000000e+02,6.160000000000000000e+02,6.650000000000000000e+02,-1.635716260572247782e-01,-2.863489402952879015e-01,4.499205663525127075e-01
6.160000000000000000e+02,6.170000000000000000e+02,6.650000000000000000e+02,6.134921924097374024e-01,1.063412758762250165e+00,-6.769049511719874568e-01
6.170000000000000000e+02,6.180000000000000000e+02,6.660000000000000000e+02,7.096028564182751408e-01,-9.673020947537125380e-01,2.576992383354374527e-01
6.180000000000000000e+02,6.190000000000000000e+02,6.660000000000000000e+02,-4.519036180828377436e-01,-1.942043797474002631e-01,1.646107997830237979e+00
6.190000000000000000e+02,6.200000000000000000e+02,6.670000000000000000e+02,4.098011615913074834e+00,4.744119613743313479e+00,-8.421312296563890909e-01
6.200000000000000000e+02,6.210000000000000000e+02,6.750000000000000000e+02,1.105985715443053508e+01,2.217725924774146318e+00,-2.277583079204681393e+00
