x,y
7.610000000000000000e+02,4.700000000000000000e+02
7.620000000000000000e+02,4.770000000000000000e+02
7.630000000000000000e+02,4.790000000000000000e+02
7.640000000000000000e+02,4.850000000000000000e+02
7.650000000000000000e+02,4.900000000000000000e+02
7.660000000000000000e+02,4.950000000000000000e+02
7.670000000000000000e+02,4.990000000000000000e+02
7.680000000000000000e+02,5.050000000000000000e+02
7.690000000000000000e+02,5.140000000000000000e+02
7.700000000000000000e+02,5.200000000000000000e+02
7.710000000000000000e+02,5.250000000000000000e+02
7.720000000000000000e+02,5.350000000000000000e+02
7.730000000000000000e+02,5.420000000000000000e+02
7.740000000000000000e+02,5.510000000000000000e+02
7.750000000000000000e+02,5.550000000000000000e+02
7.760000000000000000e+02,5.650000000000000000e+02
7.770000000000000000e+02,5.690000000000000000e+02
7.780000000000000000e+02,5.770000000000000000e+02
7.790000000000000000e+02,5.840000000000000000e+02
7.800000000000000000e+02,5.870000000000000000e+02
7.810000000000000000e+02,5.930000000000000000e+02
