x,y
3.000000000000000000e+02,7.950000000000000000e+02
3.050000000000000000e+02,7.910000000000000000e+02
3.100000000000000000e+02,7.870000000000000000e+02
3.150000000000000000e+02,7.220000000000000000e+02
3.200000000000000000e+02,7.150000000000000000e+02
3.250000000000000000e+02,7.080000000000000000e+02
3.300000000000000000e+02,6.810000000000000000e+02
3.350000000000000000e+02,6.760000000000000000e+02
3.400000000000000000e+02,6.760000000000000000e+02
3.450000000000000000e+02,6.510000000000000000e+02
3.500000000000000000e+02,6.360000000000000000e+02
3.550000000000000000e+02,6.230000000000000000e+02
3.600000000000000000e+02,5.840000000000000000e+02
3.650000000000000000e+02,5.480000000000000000e+02
3.700000000000000000e+02,5.120000000000000000e+02
3.750000000000000000e+02,4.770000000000000000e+02
3.800000000000000000e+02,4.500000000000000000e+02
3.850000000000000000e+02,4.510000000000000000e+02
3.900000000000000000e+02,4.510000000000000000e+02
3.950000000000000000e+02,4.450000000000000000e+02
4.000000000000000000e+02,4.310000000000000000e+02
4.050000000000000000e+02,3.570000000000000000e+02
4.100000000000000000e+02,3.380000000000000000e+02
4.150000000000000000e+02,3.200000000000000000e+02
4.200000000000000000e+02,3.040000000000000000e+02
4.250000000000000000e+02,2.910000000000000000e+02
4.300000000000000000e+02,2.810000000000000000e+02
4.350000000000000000e+02,2.730000000000000000e+02
4.400000000000000000e+02,2.670000000000000000e+02
4.450000000000000000e+02,2.620000000000000000e+02
4.500000000000000000e+02,2.580000000000000000e+02
4.550000000000000000e+02,2.550000000000000000e+02
4.600000000000000000e+02,2.530000000000000000e+02
4.650000000000000000e+02,2.510000000000000000e+02
4.700000000000000000e+02,2.500000000000000000e+02
4.750000000000000000e+02,2.480000000000000000e+02
4.800000000000000000e+02,2.480000000000000000e+02
4.850000000000000000e+02,2.470000000000000000e+02
4.900000000000000000e+02,2.480000000000000000e+02
4.950000000000000000e+02,2.490000000000000000e+02
5.000000000000000000e+02,2.510000000000000000e+02
5.050000000000000000e+02,2.520000000000000000e+02
5.100000000000000000e+02,2.430000000000000000e+02
5.150000000000000000e+02,2.380000000000000000e+02
5.200000000000000000e+02,1.790000000000000000e+02
5.250000000000000000e+02,1.720000000000000000e+02
5.300000000000000000e+02,1.450000000000000000e+02
5.350000000000000000e+02,1.230000000000000000e+02
5.400000000000000000e+02,1.020000000000000000e+02
5.450000000000000000e+02,9.000000000000000000e+01
5.500000000000000000e+02,8.200000000000000000e+01
5.550000000000000000e+02,7.700000000000000000e+01
5.600000000000000000e+02,7.300000000000000000e+01
5.650000000000000000e+02,7.000000000000000000e+01
5.700000000000000000e+02,6.800000000000000000e+01
5.750000000000000000e+02,6.700000000000000000e+01
5.800000000000000000e+02,6.500000000000000000e+01
5.850000000000000000e+02,6.400000000000000000e+01
5.900000000000000000e+02,6.400000000000000000e+01
5.950000000000000000e+02,6.300000000000000000e+01
6.000000000000000000e+02,6.300000000000000000e+01
6.050000000000000000e+02,6.300000000000000000e+01
6.100000000000000000e+02,6.300000000000000000e+01
6.150000000000000000e+02,6.300000000000000000e+01
6.200000000000000000e+02,6.300000000000000000e+01
6.250000000000000000e+02,6.300000000000000000e+01
6.300000000000000000e+02,6.400000000000000000e+01
6.350000000000000000e+02,6.500000000000000000e+01
6.400000000000000000e+02,6.600000000000000000e+01
6.450000000000000000e+02,6.700000000000000000e+01
6.500000000000000000e+02,6.900000000000000000e+01
6.550000000000000000e+02,7.200000000000000000e+01
6.600000000000000000e+02,7.600000000000000000e+01
6.650000000000000000e+02,8.000000000000000000e+01
6.700000000000000000e+02,8.700000000000000000e+01
6.750000000000000000e+02,9.700000000000000000e+01
6.800000000000000000e+02,1.140000000000000000e+02
6.850000000000000000e+02,1.420000000000000000e+02
6.900000000000000000e+02,1.500000000000000000e+02
6.950000000000000000e+02,1.730000000000000000e+02
7.000000000000000000e+02,1.800000000000000000e+02
7.050000000000000000e+02,2.430000000000000000e+02
7.100000000000000000e+02,2.420000000000000000e+02
7.150000000000000000e+02,2.410000000000000000e+02
7.200000000000000000e+02,2.400000000000000000e+02
7.250000000000000000e+02,2.400000000000000000e+02
7.300000000000000000e+02,2.400000000000000000e+02
7.350000000000000000e+02,2.410000000000000000e+02
7.400000000000000000e+02,2.420000000000000000e+02
7.450000000000000000e+02,2.440000000000000000e+02
7.500000000000000000e+02,2.450000000000000000e+02
7.550000000000000000e+02,2.480000000000000000e+02
7.600000000000000000e+02,2.510000000000000000e+02
7.650000000000000000e+02,2.540000000000000000e+02
7.700000000000000000e+02,2.590000000000000000e+02
7.750000000000000000e+02,2.640000000000000000e+02
7.800000000000000000e+02,2.710000000000000000e+02
7.850000000000000000e+02,2.790000000000000000e+02
7.900000000000000000e+02,2.910000000000000000e+02
7.950000000000000000e+02,3.030000000000000000e+02
8.000000000000000000e+02,3.200000000000000000e+02
8.050000000000000000e+02,3.380000000000000000e+02
8.100000000000000000e+02,3.910000000000000000e+02
8.150000000000000000e+02,4.040000000000000000e+02
8.200000000000000000e+02,4.180000000000000000e+02
8.250000000000000000e+02,4.330000000000000000e+02
8.300000000000000000e+02,4.380000000000000000e+02
8.350000000000000000e+02,4.380000000000000000e+02
8.400000000000000000e+02,4.410000000000000000e+02
8.440000000000000000e+02,4.430000000000000000e+02
