x,y
3.000000000000000000e+02,7.950000000000000000e+02
3.001648984540769902e+02,7.946881800527347650e+02
3.003297969081539804e+02,7.943775354117408369e+02
3.004946953622309707e+02,7.940692413832890679e+02
3.006595938163079609e+02,7.937644732736509923e+02
3.008244922703849511e+02,7.934644063890975758e+02
3.009893907244619413e+02,7.931702160358997844e+02
3.011542891785389315e+02,7.928830775203291523e+02
3.013191876326159218e+02,7.926041661486565317e+02
3.014840860866929120e+02,7.923346572271532295e+02
3.016489845407699022e+02,7.920757260620903253e+02
3.018138829948469493e+02,7.918285479597391259e+02
3.019787814489239395e+02,7.915942982263707108e+02
3.021436799030009297e+02,7.913741521682563871e+02
3.023085783570779199e+02,7.911692850916672342e+02
3.024734768111549101e+02,7.909808723028743316e+02
3.026383752652319004e+02,7.908100891081487589e+02
3.028032737193088906e+02,7.906581108137620504e+02
3.029681721733858808e+02,7.905261127259848308e+02
3.031330706274628710e+02,7.904152701510888619e+02
3.032979690815398612e+02,7.903267583953447684e+02
3.034628675356168515e+02,7.902617527650240845e+02
3.036277659896938417e+02,7.902214285663978899e+02
3.037926644437708319e+02,7.902069611057372640e+02
3.039575628978478221e+02,7.902195256893134001e+02
3.041224613519248123e+02,7.902602976233973777e+02
3.042873598060018026e+02,7.903304522142607311e+02
3.044522582600787928e+02,7.904311647681741988e+02
3.046171567141557830e+02,7.905636105914089740e+02
3.047820551682327732e+02,7.907289649902365909e+02
3.049469536223097634e+02,7.909284032709276744e+02
3.051118520763868105e+02,7.911627339362693192e+02
3.052767505304638007e+02,7.914286766460577383e+02
3.054416489845407909e+02,7.917203939952119072e+02
3.056065474386177812e+02,7.920320094523759735e+02
3.057714458926947714e+02,7.923576464861941986e+02
3.059363443467717616e+02,7.926914285653110710e+02
3.061012428008487518e+02,7.930274791583699425e+02
3.062661412549257420e+02,7.933599217340157566e+02
3.064310397090027323e+02,7.936828797608924333e+02
3.065959381630797225e+02,7.939904767076441203e+02
3.067608366171567127e+02,7.942768360429149652e+02
3.069257350712337029e+02,7.945360812353494566e+02
3.070906335253106931e+02,7.947623357535911737e+02
3.072555319793876834e+02,7.949497230662848324e+02
3.074204304334646736e+02,7.950923666420744667e+02
3.075853288875416638e+02,7.951843899496041104e+02
3.077502273416186540e+02,7.952199164575181385e+02
3.079151257956956442e+02,7.951930696344606986e+02
3.080800242497726344e+02,7.950979729490757109e+02
3.082449227038496247e+02,7.949287498700077776e+02
3.084098211579266717e+02,7.946795238659005918e+02
3.085747196120036620e+02,7.943444184053986419e+02
3.087396180660806522e+02,7.939175569571461892e+02
3.089045165201576424e+02,7.933930629897873814e+02
3.090694149742346326e+02,7.927650599719660249e+02
3.092343134283116228e+02,7.920276713723268358e+02
3.093992118823886130e+02,7.911750206595136206e+02
3.095641103364656033e+02,7.902012313021706404e+02
