x_left,x_right,a,b,c,d
7.000000000000000000e+02,7.010000000000000000e+02,2.400000000000000000e+02,9.033382838424813821e-01,0.000000000000000000e+00,9.666171615751857626e-02
7.010000000000000000e+02,7.020000000000000000e+02,2.410000000000000000e+02,1.193323432315037236e+00,2.899851484725557427e-01,-4.833085807875929230e-01
7.020000000000000000e+02,7.030000000000000000e+02,2.420000000000000000e+02,3.233679868973699523e-01,-1.159940593890222971e+00,8.365726069928530739e-01
7.030000000000000000e+02,7.040000000000000000e+02,2.420000000000000000e+02,5.132046200954831772e-01,1.349777227088336140e+00,-8.629818471838192062e-01
7.040000000000000000e+02,7.050000000000000000e+02,2.430000000000000000e+02,6.238135327206971725e-01,-1.239168314463121590e+00,6.153547817424244171e-01
7.050000000000000000e+02,7.060000000000000000e+02,2.430000000000000000e+02,-8.458750978272902912e-03,6.068960307641515506e-01,-5.984372797858786841e-01
7.060000000000000000e+02,7.070000000000000000e+02,2.430000000000000000e+02,-5.899785288076060397e-01,-1.188415808593484391e+00,7.783943374010903193e-01
7.070000000000000000e+02,7.080000000000000000e+02,2.420000000000000000e+02,-6.316271337913037520e-01,1.146767203609786678e+00,-5.151400698184830373e-01
7.080000000000000000e+02,7.090000000000000000e+02,2.420000000000000000e+02,1.164870639728207563e-01,-3.986530058456622116e-01,2.821659418728414415e-01
7.090000000000000000e+02,7.100000000000000000e+02,2.420000000000000000e+02,1.656788779000207545e-01,4.478448197728621683e-01,-6.135236976728829505e-01
7.100000000000000000e+02,7.110000000000000000e+02,2.420000000000000000e+02,-7.792025755729040659e-01,-1.392726273245786572e+00,1.171928848818690527e+00
7.110000000000000000e+02,7.120000000000000000e+02,2.410000000000000000e+02,-4.886857560840529580e-02,2.123060273210285231e+00,-1.074191697601879936e+00
7.120000000000000000e+02,7.130000000000000000e+02,2.420000000000000000e+02,9.746768780065252491e-01,-1.099514819595354576e+00,1.248379415888294375e-01
7.130000000000000000e+02,7.140000000000000000e+02,2.420000000000000000e+02,-8.498389364176957006e-01,-7.250009948288662631e-01,5.748399312465619637e-01
7.140000000000000000e+02,7.150000000000000000e+02,2.410000000000000000e+02,-5.753211323357424467e-01,9.995187989108196280e-01,-4.241976665750772924e-01
7.150000000000000000e+02,7.160000000000000000e+02,2.410000000000000000e+02,1.511234657606651544e-01,-2.730742008144121380e-01,1.219507350537469836e-01
7.160000000000000000e+02,7.170000000000000000e+02,2.410000000000000000e+02,-2.917273070691813255e-02,9.277800434682884068e-02,-6.360527363991071159e-02
7.170000000000000000e+02,7.180000000000000000e+02,2.410000000000000000e+02,-3.443254293299256169e-02,-9.803781657290328022e-02,1.324703595058958350e-01
