x,y
6.910000000000000000e+02,1.540000000000000000e+02
6.909919839679358802e+02,1.540140280561122381e+02
6.909839679358717603e+02,1.540280561122244478e+02
6.909759519038076405e+02,1.540420841683366859e+02
6.909679358717434070e+02,1.540561122244488956e+02
6.909599198396794009e+02,1.540701402805611337e+02
6.909519038076152810e+02,1.540841683366733434e+02
6.909438877755510475e+02,1.540981963927855816e+02
6.909358717434869277e+02,1.541122244488977913e+02
6.909278557114229216e+02,1.541262525050100294e+02
6.909198396793586880e+02,1.541402805611222391e+02
6.909118236472945682e+02,1.541543086172344772e+02
6.909038076152304484e+02,1.541683366733466869e+02
6.908957915831663286e+02,1.541823647294589250e+02
6.908877755511023224e+02,1.541963927855711347e+02
6.908797595190380889e+02,1.542104208416833728e+02
6.908717434869739691e+02,1.542244488977955825e+02
6.908637274549097356e+02,1.542384769539078206e+02
6.908557114228457294e+02,1.542525050100200303e+02
6.908476953907816096e+02,1.542665330661322685e+02
6.908396793587174898e+02,1.542805611222444782e+02
6.908316633266532563e+02,1.542945891783567163e+02
6.908236472945891364e+02,1.543086172344689260e+02
6.908156312625250166e+02,1.543226452905811641e+02
6.908076152304610105e+02,1.543366733466933738e+02
6.907995991983967770e+02,1.543507014028056119e+02
6.907915831663326571e+02,1.543647294589178216e+02
6.907835671342684236e+02,1.543787575150300597e+02
6.907755511022044175e+02,1.543927855711422978e+02
6.907675350701402976e+02,1.544068136272545075e+02
6.907595190380760641e+02,1.544208416833667457e+02
6.907515030060120580e+02,1.544348697394789554e+02
6.907434869739479382e+02,1.544488977955911935e+02
6.907354709418838183e+02,1.544629258517034032e+02
6.907274549098195848e+02,1.544769539078156413e+02
6.907194388777554650e+02,1.544909819639278510e+02
6.907114228456913452e+02,1.545050100200400891e+02
6.907034068136273390e+02,1.545190380761522988e+02
6.906953907815631055e+02,1.545330661322645369e+02
6.906873747494989857e+02,1.545470941883767466e+02
6.906793587174349796e+02,1.545611222444889847e+02
6.906713426853707460e+02,1.545751503006011944e+02
6.906633266533066262e+02,1.545891783567134325e+02
6.906553106212425064e+02,1.546032064128256422e+02
6.906472945891783866e+02,1.546172344689378804e+02
6.906392785571141530e+02,1.546312625250500901e+02
6.906312625250501469e+02,1.546452905811623282e+02
6.906232464929860271e+02,1.546593186372745379e+02
6.906152304609217936e+02,1.546733466933867760e+02
6.906072144288576737e+02,1.546873747494989857e+02
6.905991983967935539e+02,1.547014028056112238e+02
6.905911823647294341e+02,1.547154308617234335e+02
6.905831663326653143e+02,1.547294589178356716e+02
6.905751503006010807e+02,1.547434869739479097e+02
6.905671342685370746e+02,1.547575150300601194e+02
6.905591182364729548e+02,1.547715430861723576e+02
6.905511022044088350e+02,1.547855711422845673e+02
6.905430861723447151e+02,1.547995991983968054e+02
6.905350701402805953e+02,1.548136272545090151e+02
6.905270541082164755e+02,1.548276553106212532e+02
6.905190380761523556e+02,1.548416833667334629e+02
6.905110220440881221e+02,1.548557114228457010e+02
6.905030060120240023e+02,1.548697394789579107e+02
6.904949899799598825e+02,1.548837675350701488e+02
6.904869739478957626e+02,1.548977955911823585e+02
6.904789579158316428e+02,1.549118236472945966e+02
6.904709418837676367e+02,1.549258517034068063e+02
6.904629258517034032e+02,1.549398797595190445e+02
6.904549098196392833e+02,1.549539078156312542e+02
6.904468937875751635e+02,1.549679358717434923e+02
6.904388777555109300e+02,1.549819639278557020e+02
6.904308617234469239e+02,1.549959919839679401e+02
6.904228456913828040e+02,1.550100200400801498e+02
6.904148296593186842e+02,1.550240480961923879e+02
6.904068136272545644e+02,1.550380761523045976e+02
6.903987975951903309e+02,1.550521042084168357e+02
6.903907815631262110e+02,1.550661322645290454e+02
6.903827655310620912e+02,1.550801603206412835e+02
6.903747494989979714e+02,1.550941883767534932e+02
6.903667334669339652e+02,1.551082164328657313e+02
6.903587174348697317e+02,1.551222444889779695e+02
6.903507014028056119e+02,1.551362725450901792e+02
6.903426853707414921e+02,1.551503006012024173e+02
6.903346693386772586e+02,1.551643286573146270e+02
6.903266533066132524e+02,1.551783567134268651e+02
6.903186372745491326e+02,1.551923847695390748e+02
6.903106212424850128e+02,1.552064128256513129e+02
6.903026052104208929e+02,1.552204408817635226e+02
6.902945891783566594e+02,1.552344689378757607e+02
6.902865731462925396e+02,1.552484969939879704e+02
6.902785571142284198e+02,1.552625250501002085e+02
6.902705410821643000e+02,1.552765531062124182e+02
6.902625250501002938e+02,1.552905811623246564e+02
6.902545090180360603e+02,1.553046092184368661e+02
6.902464929859719405e+02,1.553186372745491042e+02
6.902384769539078206e+02,1.553326653306613139e+02
6.902304609218435871e+02,1.553466933867735520e+02
6.902224448897795810e+02,1.553607214428857617e+02
6.902144288577154612e+02,1.553747494989979998e+02
6.902064128256513413e+02,1.553887775551102095e+02
6.901983967935871078e+02,1.554028056112224476e+02
6.901903807615231017e+02,1.554168336673346573e+02
6.901823647294588682e+02,1.554308617234468954e+02
6.901743486973948620e+02,1.554448897795591051e+02
6.901663326653306285e+02,1.554589178356713433e+02
6.901583166332666224e+02,1.554729458917835814e+02
6.901503006012023889e+02,1.554869739478957911e+02
6.901422845691382690e+02,1.555010020040080292e+02
6.901342685370741492e+02,1.555150300601202389e+02
6.901262525050099157e+02,1.555290581162324770e+02
6.901182364729459096e+02,1.555430861723446867e+02
6.901102204408817897e+02,1.555571142284569248e+02
6.901022044088176699e+02,1.555711422845691345e+02
6.900941883767534364e+02,1.555851703406813726e+02
6.900861723446894302e+02,1.555991983967935823e+02
6.900781563126251967e+02,1.556132264529058205e+02
6.900701402805611906e+02,1.556272545090180301e+02
6.900621242484969571e+02,1.556412825651302683e+02
6.900541082164328373e+02,1.556553106212424780e+02
6.900460921843687174e+02,1.556693386773547161e+02
6.900380761523047113e+02,1.556833667334669258e+02
6.900300601202404778e+02,1.556973947895791639e+02
6.900220440881763579e+02,1.557114228456913736e+02
6.900140280561122381e+02,1.557254509018036117e+02
6.900060120240480046e+02,1.557394789579158214e+02
6.899979959919838848e+02,1.557535070140280595e+02
6.899899799599197650e+02,1.557675350701402692e+02
6.899819639278557588e+02,1.557815631262525073e+02
6.899739478957915253e+02,1.557955911823647170e+02
6.899659318637275192e+02,1.558096192384769552e+02
6.899579158316632856e+02,1.558236472945891649e+02
6.899498997995992795e+02,1.558376753507014030e+02
6.899418837675350460e+02,1.558517034068136411e+02
6.899338677354710399e+02,1.558657314629258508e+02
6.899258517034068063e+02,1.558797595190380889e+02
6.899178356713426865e+02,1.558937875751502986e+02
6.899098196392785667e+02,1.559078156312625367e+02
6.899018036072143332e+02,1.559218436873747464e+02
