x,y
3.150000000000000000e+02,7.220000000000000000e+02
3.150000000000000000e+02,7.230000000000000000e+02
3.150000000000000000e+02,7.240000000000000000e+02
3.150000000000000000e+02,7.250000000000000000e+02
3.150000000000000000e+02,7.260000000000000000e+02
3.150000000000000000e+02,7.270000000000000000e+02
3.160000000000000000e+02,7.280000000000000000e+02
3.160000000000000000e+02,7.290000000000000000e+02
3.170000000000000000e+02,7.300000000000000000e+02
3.170000000000000000e+02,7.310000000000000000e+02
3.180000000000000000e+02,7.320000000000000000e+02
3.190000000000000000e+02,7.330000000000000000e+02
3.200000000000000000e+02,7.340000000000000000e+02
3.210000000000000000e+02,7.350000000000000000e+02
3.220000000000000000e+02,7.350000000000000000e+02
3.230000000000000000e+02,7.360000000000000000e+02
3.240000000000000000e+02,7.360000000000000000e+02
3.250000000000000000e+02,7.370000000000000000e+02
3.260000000000000000e+02,7.370000000000000000e+02
3.270000000000000000e+02,7.380000000000000000e+02
3.280000000000000000e+02,7.380000000000000000e+02
3.290000000000000000e+02,7.390000000000000000e+02
3.300000000000000000e+02,7.400000000000000000e+02
3.310000000000000000e+02,7.410000000000000000e+02
