x_left,x_right,a,b,c,d
3.000000000000000000e+02,3.040000000000000000e+02,8.000000000000000000e+02,1.179601960109056691e+01,0.000000000000000000e+00,-1.435012250681603763e-01
3.040000000000000000e+02,3.080000000000000000e+02,8.380000000000000000e+02,4.907960797818868848e+00,-1.722014700817924515e+00,1.706311253408018536e-01
3.080000000000000000e+02,3.120000000000000000e+02,8.410000000000000000e+02,-6.778627923660387466e-01,3.255588032716976721e-01,-3.902327629504698941e-02
3.120000000000000000e+02,3.160000000000000000e+02,8.410000000000000000e+02,5.349037164528686050e-02,-1.427205122688662564e-01,1.671197983938613532e-02
3.160000000000000000e+02,3.200000000000000000e+02,8.400000000000000000e+02,-2.860986942151086954e-01,5.782324580376737438e-02,-4.344964306249755187e-02
3.200000000000000000e+02,3.240000000000000000e+02,8.370000000000000000e+02,-1.909095594784852246e+00,-4.635724709462032411e-01,7.896159241060407563e-02
3.240000000000000000e+02,3.280000000000000000e+02,8.270000000000000000e+02,-1.827518926645482322e+00,4.839666379810457220e-01,-5.364672657991877841e-02
3.280000000000000000e+02,3.320000000000000000e+02,8.240000000000000000e+02,-5.308286986332180213e-01,-1.597940809779796190e-01,2.625031390907103454e-02
3.320000000000000000e+02,3.360000000000000000e+02,8.210000000000000000e+02,-5.491662788216454816e-01,1.552096859308727816e-01,-3.572952905636535975e-02
3.360000000000000000e+02,3.400000000000000000e+02,8.190000000000000000e+02,-1.022506186080200052e+00,-2.735446627455114799e-01,2.291780231639038712e-02
3.400000000000000000e+02,3.440000000000000000e+02,8.120000000000000000e+02,-2.110808976857553532e+00,1.468965051173142140e-03,6.558319790803812145e-03
3.440000000000000000e+02,3.480000000000000000e+02,8.040000000000000000e+02,-1.784257906489585377e+00,8.016880254081888701e-02,-1.790108147960563223e-02
3.480000000000000000e+02,3.520000000000000000e+02,7.970000000000000000e+02,-2.002159397184104517e+00,-1.346441752144486859e-01,3.379600612761871070e-02
3.520000000000000000e+02,3.560000000000000000e+02,7.890000000000000000e+02,-1.457104504773996112e+00,2.709078983169758148e-01,-8.603294303086921058e-02
3.560000000000000000e+02,3.600000000000000000e+02,7.820000000000000000e+02,-3.419422583719911035e+00,-7.614874180534545456e-01,1.384607659958580761e-01
3.600000000000000000e+02,3.640000000000000000e+02,7.650000000000000000e+02,-2.865205160346360636e+00,9.000417738968422565e-01,-7.718512095256302441e-02
3.640000000000000000e+02,3.680000000000000000e+02,7.630000000000000000e+02,6.302432251053520229e-01,-2.617967753391406069e-02,-1.595282185605985609e-03
3.680000000000000000e+02,3.720000000000000000e+02,7.650000000000000000e+02,3.442322599249522108e-01,-4.532306376118588886e-02,5.441249694986958173e-03
3.720000000000000000e+02,3.760000000000000000e+02,7.660000000000000000e+02,2.428277351948391061e-01,1.997193257865760227e-02,-2.016971659434184383e-02
3.760000000000000000e+02,3.800000000000000000e+02,7.660000000000000000e+02,-5.655432007043086351e-01,-2.220646665534445341e-01,2.836261668238042669e-02
3.800000000000000000e+02,3.840000000000000000e+02,7.620000000000000000e+02,-9.806549323776044824e-01,1.182867336351205861e-01,-6.203075013517986291e-02
3.840000000000000000e+02,3.880000000000000000e+02,7.560000000000000000e+02,-3.011837069785273435e+00,-6.260822679870378105e-01,7.913538385833902844e-02
3.880000000000000000e+02,3.920000000000000000e+02,7.390000000000000000e+02,-4.221996788481302332e+00,3.235423383130305863e-01,-2.013578529817624738e-02
3.920000000000000000e+02,3.960000000000000000e+02,7.260000000000000000e+02,-2.600175776289517682e+00,8.191291473491563169e-02,-4.546724266563405975e-02
3.960000000000000000e+02,4.000000000000000000e+02,7.140000000000000000e+02,-4.127300106360626941e+00,-4.636939972526930576e-01,1.082547559607124760e-01
4.000000000000000000e+02,4.040000000000000000e+02,6.970000000000000000e+02,-2.640623798267972777e+00,8.353630742758566541e-01,-7.505178117721585107e-02
4.040000000000000000e+02,4.080000000000000000e+02,6.950000000000000000e+02,4.397952994325193821e-01,-6.525829985073353101e-02,-1.117263125184908036e-02
4.080000000000000000e+02,4.120000000000000000e+02,6.950000000000000000e+02,-6.185573994621047511e-01,-1.993298748729225023e-01,7.286730618461216558e-02
4.120000000000000000e+02,4.160000000000000000e+02,6.940000000000000000e+02,1.284434298415899178e+00,6.750777993424235124e-01,-3.115465934865995767e-01
4.160000000000000000e+02,4.200000000000000000e+02,6.900000000000000000e+02,-8.269179794201491518e+00,-3.063481322496771408e+00,5.014440677617860720e-01
4.200000000000000000e+02,4.240000000000000000e+02,6.400000000000000000e+02,-8.707715121609929554e+00,2.953847490644661899e+00,-3.036046775605448778e-01
4.240000000000000000e+02,4.280000000000000000e+02,6.330000000000000000e+02,3.500402806412119538e-01,-6.894086400818765226e-01,4.109964248039338353e-02
4.280000000000000000e+02,4.320000000000000000e+02,6.260000000000000000e+02,-3.192446000954917373e+00,-1.962129303171559203e-01,1.548311076389713437e-01
4.320000000000000000e+02,4.360000000000000000e+02,6.200000000000000000e+02,2.669743723178458872e+00,1.661760361350500093e+00,-6.760490730362787026e-01
4.360000000000000000e+02,4.400000000000000000e+02,6.140000000000000000e+02,-1.648652889175891545e+01,-6.450828515084844561e+00,1.111865184506143356e+00
4.400000000000000000e+02,4.440000000000000000e+02,5.160000000000000000e+02,-1.472362815614279441e+01,6.891553698988873933e+00,-9.432866649882937216e-01
4.440000000000000000e+02,4.480000000000000000e+02,5.070000000000000000e+02,-4.868958483669905135e+00,-4.427886280870651170e+00,1.286281475447031752e+00
4.480000000000000000e+02,4.520000000000000000e+02,4.990000000000000000e+02,2.144946209082240784e+01,1.100749142449373075e+01,-1.779964236799833399e+00
4.520000000000000000e+02,4.560000000000000000e+02,6.470000000000000000e+02,2.407111012038025777e+01,-1.035207941710426738e+01,1.099200471752300734e+00
4.560000000000000000e+02,4.600000000000000000e+02,6.480000000000000000e+02,-5.983902572343442472e+00,2.838326243923342318e+00,-3.043376502093704250e-01
4.600000000000000000e+02,4.640000000000000000e+02,6.500000000000000000e+02,2.114500168993516560e+00,-8.137255585891025600e-01,8.690012908518086887e-02
4.640000000000000000e+02,4.680000000000000000e+02,6.510000000000000000e+02,-2.240981036306221308e-01,2.290759904330679775e-01,-4.326286613135310599e-02
4.680000000000000000e+02,4.720000000000000000e+02,6.510000000000000000e+02,-4.681077544710275373e-01,-2.900784031431693499e-01,1.017763354402315690e-01
4.720000000000000000e+02,4.760000000000000000e+02,6.510000000000000000e+02,2.096529121514731919e+00,9.312376221396093667e-01,-3.638424756295730589e-01
4.760000000000000000e+02,4.800000000000000000e+02,6.510000000000000000e+02,-7.918008731587899973e+00,-3.434872085415267673e+00,1.353593567078060778e+00
4.800000000000000000e+02,4.840000000000000000e+02,6.510000000000000000e+02,2.957550580483686531e+01,1.280825071952146033e+01,-2.144281792682669163e+00
4.840000000000000000e+02,4.880000000000000000e+02,8.370000000000000000e+02,2.911598551224042808e+01,-1.292313079267056963e+01,1.457908603652615653e+00
4.880000000000000000e+02,4.920000000000000000e+02,8.400000000000000000e+02,-4.289447853798575849e+00,4.571772451160819095e+00,-3.904776219277937277e-01
4.920000000000000000e+02,4.960000000000000000e+02,8.710000000000000000e+02,1.354180590295387532e+01,-1.139590119727061229e-01,-2.709981159414406870e-01
4.960000000000000000e+02,5.000000000000000000e+02,9.060000000000000000e+02,-3.777757580169263107e-01,-3.365936403269994770e+00,1.240095085693556642e+00
5.000000000000000000e+02,5.040000000000000000e+02,9.300000000000000000e+02,3.221929712911383348e+01,1.151520462505268405e+01,-1.986257226832785605e+00
5.040000000000000000e+02,5.080000000000000000e+02,1.116000000000000000e+03,2.900058724156159329e+01,-1.231988209694074143e+01,1.298683821637585778e+00
5.080000000000000000e+02,5.120000000000000000e+02,1.118000000000000000e+03,-7.221646095360225281e+00,3.264323762710286569e+00,-3.491030597175575623e-01
5.120000000000000000e+02,5.160000000000000000e+02,1.119000000000000000e+03,2.135997139879303841e+00,-9.249129539004042888e-01,9.772841723264458214e-02
5.160000000000000000e+02,5.200000000000000000e+02,1.119000000000000000e+03,-5.723424641569901938e-01,2.478280528913308078e-01,-2.618560921302081138e-02
5.200000000000000000e+02,5.240000000000000000e+02,1.119000000000000000e+03,1.533727167486572396e-01,-6.639925766491891479e-02,7.014019619438650356e-03
5.240000000000000000e+02,5.280000000000000000e+02,1.119000000000000000e+03,-4.114840283763885470e-02,1.776897776834489295e-02,-1.870469264733795036e-03
5.280000000000000000e+02,5.320000000000000000e+02,1.119000000000000000e+03,1.122089460189812544e-02,-4.676653408460647483e-03,4.678574394965289763e-04
5.320000000000000000e+02,5.360000000000000000e+02,1.119000000000000000e+03,-3.735175569953662691e-03,9.376358654977002324e-04,-9.604932523211489795e-07
5.360000000000000000e+02,5.400000000000000000e+02,1.119000000000000000e+03,3.719807677916523586e-03,9.261099464698464455e-04,-4.640154664872443626e-04
5.400000000000000000e+02,5.440000000000000000e+02,1.119000000000000000e+03,-1.114405514171243512e-02,-4.642075651377085797e-03,1.857022359201298753e-03
5.440000000000000000e+02,5.480000000000000000e+02,1.119000000000000000e+03,4.085641288893321343e-02,1.764219265903849837e-02,-6.964073970317949565e-03
5.480000000000000000e+02,5.520000000000000000e+02,1.119000000000000000e+03,-1.522815964140204481e-01,-6.592669498477690682e-02,1.037427352207050298e-02
5.520000000000000000e+02,5.560000000000000000e+02,1.118000000000000000e+03,-1.817300272328515598e-01,5.856458728006912889e-02,-3.283020117964061037e-03
5.560000000000000000e+02,5.600000000000000000e+02,1.118000000000000000e+03,1.292017053454265485e-01,1.916834586450039471e-02,-1.286719305021425709e-02
5.600000000000000000e+02,5.640000000000000000e+02,1.118000000000000000e+03,-3.350767941488546064e-01,-1.352379707380707008e-01,5.475179231882108116e-02
5.640000000000000000e+02,5.680000000000000000e+02,1.118000000000000000e+03,1.211105471249992016e+00,5.217835370877823564e-01,-2.061399762250701040e-01
5.680000000000000000e+02,5.720000000000000000e+02,1.118000000000000000e+03,-4.509345090851113014e+00,-1.951896177613058780e+00,3.323081125814592585e-01
5.720000000000000000e+02,5.760000000000000000e+02,1.090000000000000000e+03,-4.173725107845539739e+00,2.035801173364452321e+00,-3.418424741007668466e-01
5.760000000000000000e+02,5.800000000000000000e+02,1.084000000000000000e+03,-4.295754477766728918e+00,-2.066308515844749394e+00,2.538117838216079059e-01
5.800000000000000000e+02,5.840000000000000000e+02,1.050000000000000000e+03,-8.643256981087544588e+00,9.794328900145452543e-01,2.640953388143352787e-01
5.840000000000000000e+02,5.880000000000000000e+02,1.048000000000000000e+03,1.186878240211690638e+01,4.148576955786568377e+00,-1.825818139078948521e+00
5.880000000000000000e+02,5.920000000000000000e+02,1.045000000000000000e+03,-4.258187262738007917e+01,-1.776124071316081654e+01,2.851677217501459527e+00
5.920000000000000000e+02,5.960000000000000000e+02,7.730000000000000000e+02,-4.779129189259656130e+01,1.645888589685669601e+01,-1.705890730926888921e+00
5.960000000000000000e+02,6.000000000000000000e+02,7.360000000000000000e+02,1.997040197766343894e+00,-4.011802874265970154e+00,3.625107062060959895e-01
6.000000000000000000e+02,6.040000000000000000e+02,7.030000000000000000e+02,-1.269686889846880540e+01,3.383256002071823865e-01,1.308479061025047685e-01
6.040000000000000000e+02,6.080000000000000000e+02,6.660000000000000000e+02,-3.709564603891118306e+00,1.908500473437239719e+00,-2.452773306161150357e-01
6.080000000000000000e+02,6.120000000000000000e+02,6.660000000000000000e+02,-2.148726859667225708e-01,-1.034827493956140598e+00,2.565114163619552912e-01
6.120000000000000000e+02,6.160000000000000000e+02,6.650000000000000000e+02,3.819055347758006036e+00,2.043309502387323118e+00,-7.495183348317061567e-01
6.160000000000000000e+02,6.200000000000000000e+02,6.650000000000000000e+02,-1.581134870506530277e+01,-6.950910515593150762e+00,2.882186922964869336e+00
6.200000000000000000e+02,6.240000000000000000e+02,6.750000000000000000e+02,6.692633947250322990e+01,2.763533255998527949e+01,-4.622979357027770853e+00
6.240000000000000000e+02,6.280000000000000000e+02,1.089000000000000000e+03,6.610599081505242225e+01,-2.784041972434797430e+01,2.859730505146217183e+00
6.280000000000000000e+02,6.320000000000000000e+02,1.091000000000000000e+03,-1.935030273271294732e+01,6.476346337406631015e+00,-4.253176635570985464e-01
6.320000000000000000e+02,6.360000000000000000e+02,1.090000000000000000e+03,1.204522011579937235e+01,1.372534374721448680e+00,-3.459598509178229420e-01
6.360000000000000000e+02,6.400000000000000000e+02,1.138000000000000000e+03,6.419422269515460577e+00,-2.778983836292426624e+00,2.935320672283904253e-01
6.400000000000000000e+02,6.440000000000000000e+02,1.138000000000000000e+03,-1.722909193861213550e+00,7.434009704482583691e-01,-7.816841799573875926e-02
6.440000000000000000e+02,6.480000000000000000e+02,1.138000000000000000e+03,4.722145059293931801e-01,-1.946200455006066865e-01,1.914160475456459440e-02
6.480000000000000000e+02,6.520000000000000000e+02,1.138000000000000000e+03,-1.659488298563596420e-01,3.507921155416846709e-02,1.601998977480361503e-03
6.520000000000000000e+02,6.560000000000000000e+02,1.138000000000000000e+03,1.915808134960453601e-01,5.430319928393280426e-02,-9.924600664486036075e-03
6.560000000000000000e+02,6.600000000000000000e+02,1.139000000000000000e+03,1.496255758721780627e-01,-6.479200868989963558e-02,6.846403680463779978e-03
6.600000000000000000e+02,6.640000000000000000e+02,1.139000000000000000e+03,-4.008311698475756218e-02,1.736483547566572416e-02,-1.836014057369083187e-03
6.640000000000000000e+02,6.680000000000000000e+02,1.139000000000000000e+03,1.070689206685223639e-02,-4.667333212763273217e-03,4.976525490125535299e-04
6.680000000000000000e+02,6.720000000000000000e+02,1.139000000000000000e+03,-2.744451282651379914e-03,1.304497375387369141e-03,-1.545961386811310406e-04
6.720000000000000000e+02,6.760000000000000000e+02,1.139000000000000000e+03,2.709130637532829937e-04,-5.506562887862034546e-04,1.207320057119706732e-04
6.760000000000000000e+02,6.800000000000000000e+02,1.139000000000000000e+03,1.660799027638247940e-03,8.981277797574446775e-04,-3.283318841667516520e-04
