x,y
3.000000000000000000e+02,8.000000000000000000e+02
3.001323923095643522e+02,8.015613692789227116e+02
3.002647846191287613e+02,8.031207405594543616e+02
3.003971769286931135e+02,8.046761158432013872e+02
3.005295692382574657e+02,8.062254971317727268e+02
3.006619615478218748e+02,8.077668864267773188e+02
3.007943538573862270e+02,8.092982857298216004e+02
3.009267461669505792e+02,8.108176970425145100e+02
3.010591384765149883e+02,8.123231223664647587e+02
3.011915307860793405e+02,8.138125637032793520e+02
3.013239230956436927e+02,8.152840230545668874e+02
3.014563154052081018e+02,8.167355024219359620e+02
3.015887077147724540e+02,8.181650038069935817e+02
3.017211000243368062e+02,8.195705292113484575e+02
3.018534923339012153e+02,8.209500806366093002e+02
3.019858846434655675e+02,8.223016600843830020e+02
3.021182769530299197e+02,8.236232695562782737e+02
3.022506692625943288e+02,8.249129110539038265e+02
3.023830615721586810e+02,8.261685865788664387e+02
3.025154538817230332e+02,8.273882981327749349e+02
3.026478461912874423e+02,8.285700477172381397e+02
3.027802385008517945e+02,8.297118373338627180e+02
3.029126308104161467e+02,8.308116689842574942e+02
3.030450231199805557e+02,8.318675446700311795e+02
3.031774154295449080e+02,8.328774663927906659e+02
3.033098077391092602e+02,8.338394361541445505e+02
3.034422000486736692e+02,8.347514559557016582e+02
3.035745923582380215e+02,8.356115277990689947e+02
3.037069846678023737e+02,8.364176536858550435e+02
3.038393769773667827e+02,8.371678356176685156e+02
3.039717692869311350e+02,8.378600755961165305e+02
3.041041615964954872e+02,8.384927306286883777e+02
3.042365539060598962e+02,8.390668958769527990e+02
3.043689462156242485e+02,8.395849400070311503e+02
3.045013385251886007e+02,8.400492387527463052e+02
3.046337308347530097e+02,8.404621678479214779e+02
3.047661231443173619e+02,8.408261030263795419e+02
3.048985154538817142e+02,8.411434200219435979e+02
3.050309077634460664e+02,8.414164945684365193e+02
3.051633000730104754e+02,8.416477023996816342e+02
3.052956923825748277e+02,8.418394192495015886e+02
3.054280846921391799e+02,8.419940208517195970e+02
3.055604770017035889e+02,8.421138829401587600e+02
3.056928693112679412e+02,8.422013812486418374e+02
3.058252616208322934e+02,8.422588915109920435e+02
3.059576539303967024e+02,8.422887894610322519e+02
3.060900462399610547e+02,8.422934508325855631e+02
3.062224385495254069e+02,8.422752513594750781e+02
3.063548308590898159e+02,8.422365667755235563e+02
3.064872231686541681e+02,8.421797728145543260e+02
3.066196154782185204e+02,8.421072452103900332e+02
3.067520077877829294e+02,8.420213596968540060e+02
3.068844000973472816e+02,8.419244920077691177e+02
3.070167924069116339e+02,8.418190178769584691e+02
3.071491847164760429e+02,8.417073130382449335e+02
3.072815770260403951e+02,8.415917532254517255e+02
3.074139693356047474e+02,8.414747141724016046e+02
3.075463616451691564e+02,8.413585716129177854e+02
3.076787539547335086e+02,8.412457012808232548e+02
3.078111462642978609e+02,8.411384789099410000e+02
