x_left,x_right,a,b,c,d
3.000000000000000000e+02,3.040000000000000000e+02,7.950000000000000000e+02,-8.348324966667832747e-01,0.000000000000000000e+00,-1.032296895832604533e-02
3.040000000000000000e+02,3.080000000000000000e+02,7.910000000000000000e+02,-1.330335006666433451e+00,-1.238756274999125440e-01,8.286484479163022665e-02
3.080000000000000000e+02,3.120000000000000000e+02,7.890000000000000000e+02,1.656172523332517077e+00,8.705025099996501758e-01,-3.992614102081948890e-01
3.120000000000000000e+02,3.160000000000000000e+02,7.840000000000000000e+02,-1.054435508666363575e+01,-3.920634412498688270e+00,6.548057960411491907e-01
3.160000000000000000e+02,3.200000000000000000e+02,7.210000000000000000e+02,-1.047875217667797720e+01,3.937035139995102462e+00,-4.230867739564020957e-01
3.200000000000000000e+02,3.240000000000000000e+02,7.150000000000000000e+02,7.093637933755441161e-01,-1.140006147481722687e+00,1.469162997844591645e-01
3.240000000000000000e+02,3.280000000000000000e+02,7.090000000000000000e+02,-1.358702996824197262e+00,6.229894499317871759e-01,-1.645784251814344790e-01
3.280000000000000000e+02,3.320000000000000000e+02,7.030000000000000000e+02,-4.274551806078754623e+00,-1.351951652245426461e+00,2.301474009412788069e-01
3.320000000000000000e+02,3.360000000000000000e+02,6.790000000000000000e+02,-4.043089778860784023e+00,1.409817159049919111e+00,-1.466361785836807208e-01
3.360000000000000000e+02,3.400000000000000000e+02,6.760000000000000000e+02,1.969109215218930731e-01,-3.498169839542495940e-01,7.514731339344409011e-02
3.400000000000000000e+02,3.440000000000000000e+02,6.760000000000000000e+02,1.005446092773212508e+00,5.519507767670793763e-01,-2.164530749900956119e-01
3.440000000000000000e+02,3.480000000000000000e+02,6.750000000000000000e+02,-4.968695292614743408e+00,-2.045486123114068189e+00,3.062899865669384547e-01
3.480000000000000000e+02,3.520000000000000000e+02,6.420000000000000000e+02,-6.630664922314241316e+00,1.629993715689193712e+00,-1.493318712776583734e-01
3.520000000000000000e+02,3.560000000000000000e+02,6.320000000000000000e+02,-7.586450181282926586e-01,-1.619887396427066584e-01,-9.958750145630503037e-02
3.560000000000000000e+02,3.600000000000000000e+02,6.200000000000000000e+02,-6.834755005172588938e+00,-1.357038757118367078e+00,2.039318771028785504e-01
3.600000000000000000e+02,3.640000000000000000e+02,5.840000000000000000e+02,-7.902334961181353812e+00,1.090143768116175416e+00,-1.536400069552092129e-01
3.640000000000000000e+02,3.680000000000000000e+02,5.600000000000000000e+02,-6.555905150101993151e+00,-7.535363153463351393e-01,8.250315071795834287e-02
3.680000000000000000e+02,3.720000000000000000e+02,5.270000000000000000e+02,-8.624044438410672697e+00,2.365014932691650862e-01,-4.497595916624188943e-03
3.720000000000000000e+02,3.760000000000000000e+02,4.960000000000000000e+02,-6.947917096255313396e+00,1.825303422696748223e-01,-1.763776705146159751e-02
3.760000000000000000e+02,3.800000000000000000e+02,4.700000000000000000e+02,-6.334287176568071942e+00,-2.912286234786434086e-02,9.067366412247057639e-02
3.800000000000000000e+02,3.840000000000000000e+02,4.500000000000000000e+02,-2.214934197472399280e+00,1.058961107121782597e+00,-1.106818894384206803e-01
3.840000000000000000e+02,3.880000000000000000e+02,4.510000000000000000e+02,9.440239664576681733e-01,-2.692215661392656778e-01,2.392889363121215862e-02
3.880000000000000000e+02,3.920000000000000000e+02,4.520000000000000000e+02,-6.116166835827357984e-02,1.792515743528023606e-02,-3.190868508642796114e-02
3.920000000000000000e+02,3.960000000000000000e+02,4.500000000000000000e+02,-1.449377293024573854e+00,-3.649790636018552803e-01,8.808084671449968595e-02
3.960000000000000000e+02,4.000000000000000000e+02,4.440000000000000000e+02,-1.413291595434311709e-01,6.919910969721410066e-01,-3.672897017715708312e-01
4.000000000000000000e+02,4.040000000000000000e+02,4.310000000000000000e+02,-1.223530606880170168e+01,-3.715485324286708746e+00,6.154529603717836528e-01
4.040000000000000000e+02,4.080000000000000000e+02,3.620000000000000000e+02,-1.241744656524975987e+01,3.669950200174694643e+00,-3.913971397155637244e-01
4.080000000000000000e+02,4.120000000000000000e+02,3.460000000000000000e+02,-1.844907670199258831e+00,-1.026815476412069383e+00,1.220105984904710228e-01
4.120000000000000000e+02,4.160000000000000000e+02,3.300000000000000000e+02,-4.202922753953204804e+00,4.373117054735829456e-01,-4.977025424632044309e-02
4.160000000000000000e+02,4.200000000000000000e+02,3.170000000000000000e+02,-3.093401313987922396e+00,-1.599313454822623437e-01,3.019541849481072529e-02
4.200000000000000000e+02,4.240000000000000000e+02,3.040000000000000000e+02,-2.923471990095106054e+00,2.024136764554663737e-01,-2.413641973292246154e-02
4.240000000000000000e+02,4.280000000000000000e+02,2.940000000000000000e+02,-2.462710725631653386e+00,-8.722336033960313706e-02,1.947526043687911046e-02
4.280000000000000000e+02,4.320000000000000000e+02,2.840000000000000000e+02,-2.225685107378281291e+00,1.464797649029461746e-01,-6.889622014593970757e-03
4.320000000000000000e+02,4.360000000000000000e+02,2.770000000000000000e+02,-1.384548844855222338e+00,6.380430072781852202e-02,-7.541772378503230033e-03
4.360000000000000000e+02,4.400000000000000000e+02,2.720000000000000000e+02,-1.236119513200829356e+00,-2.669696781422023837e-02,5.806711528606889154e-03
4.400000000000000000e+02,4.440000000000000000e+02,2.670000000000000000e+02,-1.170973102341460459e+00,4.298357052906243148e-02,-6.007373592432745102e-05
4.440000000000000000e+02,4.480000000000000000e+02,2.630000000000000000e+02,-8.299880774333288080e-01,4.226268569797050206e-02,-5.566416584909577615e-03
