x,y
3.000000000000000000e+02,7.950000000000000000e+02
3.080000000000000000e+02,7.890000000000000000e+02
3.160000000000000000e+02,7.210000000000000000e+02
3.240000000000000000e+02,7.090000000000000000e+02
3.320000000000000000e+02,6.790000000000000000e+02
3.400000000000000000e+02,6.760000000000000000e+02
3.480000000000000000e+02,6.420000000000000000e+02
3.560000000000000000e+02,6.200000000000000000e+02
3.640000000000000000e+02,5.600000000000000000e+02
3.720000000000000000e+02,4.960000000000000000e+02
3.800000000000000000e+02,4.500000000000000000e+02
3.880000000000000000e+02,4.510000000000000000e+02
3.960000000000000000e+02,4.440000000000000000e+02
4.040000000000000000e+02,3.620000000000000000e+02
4.120000000000000000e+02,3.300000000000000000e+02
4.200000000000000000e+02,3.040000000000000000e+02
4.280000000000000000e+02,2.840000000000000000e+02
4.360000000000000000e+02,2.720000000000000000e+02
4.440000000000000000e+02,2.630000000000000000e+02
4.520000000000000000e+02,2.570000000000000000e+02
4.600000000000000000e+02,2.530000000000000000e+02
4.680000000000000000e+02,2.500000000000000000e+02
4.760000000000000000e+02,2.480000000000000000e+02
4.840000000000000000e+02,2.470000000000000000e+02
4.920000000000000000e+02,2.480000000000000000e+02
5.000000000000000000e+02,2.510000000000000000e+02
5.080000000000000000e+02,2.500000000000000000e+02
5.160000000000000000e+02,2.370000000000000000e+02
5.240000000000000000e+02,1.730000000000000000e+02
5.320000000000000000e+02,1.440000000000000000e+02
5.400000000000000000e+02,1.020000000000000000e+02
5.480000000000000000e+02,8.500000000000000000e+01
5.560000000000000000e+02,7.600000000000000000e+01
5.640000000000000000e+02,7.100000000000000000e+01
5.720000000000000000e+02,6.800000000000000000e+01
5.800000000000000000e+02,6.500000000000000000e+01
5.880000000000000000e+02,6.400000000000000000e+01
5.960000000000000000e+02,6.300000000000000000e+01
6.040000000000000000e+02,6.300000000000000000e+01
6.120000000000000000e+02,6.300000000000000000e+01
6.200000000000000000e+02,6.300000000000000000e+01
6.280000000000000000e+02,6.400000000000000000e+01
6.360000000000000000e+02,6.500000000000000000e+01
6.440000000000000000e+02,6.700000000000000000e+01
6.520000000000000000e+02,7.100000000000000000e+01
6.600000000000000000e+02,7.600000000000000000e+01
6.680000000000000000e+02,8.400000000000000000e+01
6.760000000000000000e+02,9.900000000000000000e+01
6.840000000000000000e+02,1.330000000000000000e+02
6.920000000000000000e+02,1.690000000000000000e+02
7.000000000000000000e+02,1.800000000000000000e+02
7.080000000000000000e+02,2.420000000000000000e+02
7.160000000000000000e+02,2.410000000000000000e+02
7.240000000000000000e+02,2.400000000000000000e+02
7.320000000000000000e+02,2.410000000000000000e+02
7.400000000000000000e+02,2.420000000000000000e+02
7.480000000000000000e+02,2.450000000000000000e+02
7.560000000000000000e+02,2.480000000000000000e+02
7.640000000000000000e+02,2.540000000000000000e+02
7.720000000000000000e+02,2.610000000000000000e+02
7.800000000000000000e+02,2.710000000000000000e+02
7.880000000000000000e+02,2.860000000000000000e+02
7.960000000000000000e+02,3.070000000000000000e+02
8.040000000000000000e+02,3.330000000000000000e+02
8.120000000000000000e+02,3.960000000000000000e+02
8.200000000000000000e+02,4.180000000000000000e+02
8.280000000000000000e+02,4.370000000000000000e+02
8.360000000000000000e+02,4.380000000000000000e+02
8.440000000000000000e+02,4.430000000000000000e+02
