x,y
3.000000000000000000e+02,7.950000000000000000e+02
3.002629289511841648e+02,7.954978210397276825e+02
3.005258579023682728e+02,7.959911327354975583e+02
3.007887868535524376e+02,7.964754257433528437e+02
3.010517158047366024e+02,7.969461907193352772e+02
3.013146447559207104e+02,7.973989183194877342e+02
3.015775737071048752e+02,7.978290991998526351e+02
3.018405026582890400e+02,7.982322240164725144e+02
3.021034316094731480e+02,7.986037834253897927e+02
3.023663605606573128e+02,7.989392680826468904e+02
3.026292895118414776e+02,7.992341686442865694e+02
3.028922184630256424e+02,7.994839757663510227e+02
3.031551474142097504e+02,7.996841801048827847e+02
3.034180763653939152e+02,7.998302723159245033e+02
3.036810053165780801e+02,7.999177430555184856e+02
3.039439342677621880e+02,7.999420829797074930e+02
3.042068632189463528e+02,7.998987827445336052e+02
3.044697921701305177e+02,7.997833330060395838e+02
3.047327211213146256e+02,7.995912244202679631e+02
3.049956500724987905e+02,7.993179476432609363e+02
3.052585790236829553e+02,7.989589933310613787e+02
3.055215079748670632e+02,7.985098521397114837e+02
3.057844369260512281e+02,7.979660147252538991e+02
3.060473658772353929e+02,7.973229717437309318e+02
3.063102948284195008e+02,7.965762138511855710e+02
3.065732237796036657e+02,7.957212317036595550e+02
3.068361527307878305e+02,7.947535159571957593e+02
3.070990816819719953e+02,7.936685572678367180e+02
3.073620106331561033e+02,7.924618462916249655e+02
3.076249395843402681e+02,7.911288736846028087e+02
3.078878685355244329e+02,7.896651301028126682e+02
3.081507974867085409e+02,7.880665416655155013e+02
3.084137264378927057e+02,7.863362857301326585e+02
3.086766553890768705e+02,7.844835234614986348e+02
3.089395843402609785e+02,7.825175950650998402e+02
3.092025132914451433e+02,7.804478407464213205e+02
3.094654422426293081e+02,7.782836007109499405e+02
3.097283711938134161e+02,7.760342151641716555e+02
3.099913001449975809e+02,7.737090243115723069e+02
3.102542290961817457e+02,7.713173683586378502e+02
3.105171580473658537e+02,7.688685875108553773e+02
3.107800869985500185e+02,7.663720219737093657e+02
3.110430159497341833e+02,7.638370119526866802e+02
3.113059449009182913e+02,7.612728976532739580e+02
3.115688738521024561e+02,7.586890192809559039e+02
3.118318028032866209e+02,7.560947170412193827e+02
3.120947317544707857e+02,7.534993311395503497e+02
3.123576607056548937e+02,7.509122017814355559e+02
3.126205896568390585e+02,7.483426691723598196e+02
3.128835186080232234e+02,7.458000735178095510e+02
3.131464475592073313e+02,7.432937550232718422e+02
3.134093765103914961e+02,7.408330538942311705e+02
3.136723054615756610e+02,7.384273103361744006e+02
3.139352344127597689e+02,7.360858645545881700e+02
3.141981633639439337e+02,7.338180567549572970e+02
3.144610923151280986e+02,7.316332271427684191e+02
3.147240212663122065e+02,7.295407159235080599e+02
3.149869502174963714e+02,7.275498633026614925e+02
3.152498791686805362e+02,7.256700094857150134e+02
3.155128081198646441e+02,7.239104946781552599e+02
3.157757370710488090e+02,7.222806590854673914e+02
3.160386660222329738e+02,7.207898338721239497e+02
3.163015949734170817e+02,7.194430959353883281e+02
3.165645239246012466e+02,7.182344927864240844e+02
3.168274528757854114e+02,7.171563079260771474e+02
3.170903818269695762e+02,7.162008248551921952e+02
3.173533107781536842e+02,7.153603270746148155e+02
3.176162397293378490e+02,7.146270980851898003e+02
3.178791686805220138e+02,7.139934213877623961e+02
3.181420976317061218e+02,7.134515804831780770e+02
3.184050265828902866e+02,7.129938588722816348e+02
3.186679555340744514e+02,7.126125400559185437e+02
3.189308844852585594e+02,7.122999075349337090e+02
3.191938134364427242e+02,7.120482448101724913e+02
3.194567423876268890e+02,7.118498353824800233e+02
3.197196713388109970e+02,7.116969627527014381e+02
3.199826002899951618e+02,7.115819104216818687e+02
3.202455292411793266e+02,7.114969618902666753e+02
3.205084581923634914e+02,7.114344006593009908e+02
3.207713871435475994e+02,7.113865102296297209e+02
3.210343160947317642e+02,7.113455741020983396e+02
3.212972450459159290e+02,7.113038757775519798e+02
3.215601739971000370e+02,7.112536987568356608e+02
3.218231029482842018e+02,7.111873265407947429e+02
3.220860318994683666e+02,7.110970426302742453e+02
3.223489608506524746e+02,7.109751305261194148e+02
3.226118898018366394e+02,7.108138737291754978e+02
3.228748187530208043e+02,7.106055557402875138e+02
3.231377477042049122e+02,7.103424600603007093e+02
3.234006766553890770e+02,7.100168701900603310e+02
3.236636056065732419e+02,7.096210696304113981e+02
3.239265345577573498e+02,7.091473418821993846e+02
3.241894635089415146e+02,7.085888110469151115e+02
